instance,weight,satisfied_clauses,clauses,true_variables,variables,current_objective_history,best_objective_history
wuf20-01.mwcnf,6680,64,71,19,21,[],[]
wuf20-010.mwcnf,13940,66,71,19,21,[],[]
wuf20-0100.mwcnf,11782,58,71,20,21,[],[]
wuf20-01000.mwcnf,9451,57,71,19,21,[],[]
wuf20-0101.mwcnf,9991,55,71,19,21,[],[]
wuf20-0102.mwcnf,9270,56,71,19,21,[],[]
wuf20-0103.mwcnf,12259,60,71,19,21,[],[]
wuf20-0104.mwcnf,12192,62,71,20,21,[],[]
wuf20-0105.mwcnf,13819,68,71,20,21,[],[]
wuf20-0106.mwcnf,13696,66,71,19,21,[],[]
wuf20-0107.mwcnf,12387,68,71,18,21,[],[]
wuf20-0108.mwcnf,16195,67,71,19,21,[],[]
wuf20-0109.mwcnf,7343,62,71,18,21,[],[]
wuf20-011.mwcnf,14059,63,71,19,21,[],[]
wuf20-0110.mwcnf,11904,64,71,19,21,[],[]
wuf20-0111.mwcnf,12879,62,71,19,21,[],[]
wuf20-0112.mwcnf,12384,62,71,19,21,[],[]
wuf20-0113.mwcnf,13749,65,71,20,21,[],[]
wuf20-0114.mwcnf,14222,67,71,19,21,[],[]
wuf20-0115.mwcnf,10131,58,71,19,21,[],[]
wuf20-0116.mwcnf,10521,60,71,18,21,[],[]
wuf20-0117.mwcnf,11947,56,71,19,21,[],[]
wuf20-0118.mwcnf,11623,60,71,18,21,[],[]
wuf20-0119.mwcnf,13788,68,71,18,21,[],[]
wuf20-012.mwcnf,9213,55,71,19,21,[],[]
wuf20-0120.mwcnf,11256,60,71,19,21,[],[]
wuf20-0121.mwcnf,13873,59,71,20,21,[],[]
wuf20-0122.mwcnf,11100,57,71,18,21,[],[]
wuf20-0123.mwcnf,13768,64,71,19,21,[],[]
wuf20-0124.mwcnf,13590,65,71,19,21,[],[]
wuf20-0125.mwcnf,13524,67,71,18,21,[],[]
wuf20-0126.mwcnf,14105,65,71,19,21,[],[]
wuf20-0127.mwcnf,11662,64,71,19,21,[],[]
wuf20-0128.mwcnf,12377,59,71,18,21,[],[]
wuf20-0129.mwcnf,8560,60,71,18,21,[],[]
wuf20-013.mwcnf,11785,65,71,18,21,[],[]
wuf20-0130.mwcnf,10379,60,71,19,21,[],[]
wuf20-0131.mwcnf,14274,67,71,18,21,[],[]
